43,2,1.0183,1,3,2,22,65,45,35,51.75,40.25,1,3,2
44,2,0.90103,1,2,3,19,70,44,35,24.7,91,3,3,3
45,1,0.85032,1,3,2,22,70,47,35,32.9,24.5,2,3,3
46,2,0.73949,3,2,1,18,65,44,25,20.7,74.75,3,1,2
47,2,0.96759,2,3,1,19,65,44,25,46.2,26.25,1,3,1
48,1,1.0181,2,1,3,20,75,46,35,23,86.25,3,3,2
49,1,0.83457,1,3,2,21,75,47,35,32.9,24.5,2,3,3
50,2,0.75075,2,3,1,22,70,48,30,20.9,66.5,4,1,1
51,2,0.97493,3,2,1,19,70,44,35,13.3,49,4,1,3
52,2,0.95216,3,2,1,22,65,47,30,25.3,74.75,3,3,2
53,2,0.80094,2,1,3,22,75,47,35,15.4,52.5,4,3,3
54,1,0.93553,3,2,1,19,70,46,25,13.3,49,4,2,3
55,1,1.0009,3,1,2,22,65,47,30,18.7,55.25,4,3,2
56,2,0.75129,1,2,3,18,75,45,30,38.25,25.5,2,3,2
57,1,0.51888,1,2,3,22,65,48,25,50.4,26.25,1,3,1
58,1,1.0001,1,3,2,20,65,46,25,17,55.25,4,3,2
59,1,0.96894,2,3,1,19,65,44,25,46.2,26.25,1,3,1
60,3,0.51884,1,3,2,22,65,48,25,23.1,68.25,3,2,1
61,1,0.63605,2,1,3,18,75,45,30,42.75,28.5,2,3,1
62,1,1.0023,2,1,3,20,70,45,35,23,80.5,3,3,2
63,3,0.59973,2,3,1,19,65,45,25,47.25,26.25,1,2,1
64,1,0.96666,3,1,2,18,70,45,25,31.5,17.5,2,2,3
65,1,0.63452,1,2,3,22,75,48,35,20.9,71.25,4,3,1
66,3,0.73424,3,1,2,18,75,44,35,50.6,40.25,1,1,2
67,1,0.99967,2,1,3,22,70,46,35,15.4,49,4,2,3
68,1,0.80229,3,1,2,22,75,48,35,55.2,40.25,1,3,2
69,1,0.85225,1,2,3,19,65,44,30,18.05,61.75,4,2,1
70,2,0.76762,1,3,2,21,70,46,35,32.2,24.5,2,3,3
71,1,0.63428,3,2,1,20,70,47,25,44.65,23.75,2,2,1
72,2,0.76893,3,2,1,21,65,44,35,14.7,45.5,4,3,3
73,2,0.89952,3,1,2,21,70,48,25,33.6,17.5,2,3,3
74,2,0.8009,1,2,3,20,65,45,30,26,84.5,3,3,3
75,1,0.80094,1,3,2,19,75,48,25,16.15,63.75,4,3,2
76,2,0.99969,3,1,2,22,65,45,35,31.5,24.5,2,1,3
77,2,0.75221,3,1,2,20,65,46,25,32.2,17.5,2,3,3
78,2,0.58437,2,1,3,18,75,47,25,20.7,86.25,3,3,2
79,1,0.9689,1,2,3,19,70,45,30,18.05,66.5,4,3,1
80,2,0.93429,2,3,1,19,65,45,25,38.25,21.25,2,3,2
81,1,0.80092,2,1,3,21,75,47,35,61.1,45.5,1,3,3
82,1,0.76616,1,2,3,20,75,47,30,39.95,25.5,2,3,2
83,1,0.69972,2,3,1,18,65,44,25,17.1,61.75,4,3,1
84,3,0.83437,3,2,1,20,75,47,30,61.1,39,1,2,3
85,2,0.81624,3,1,2,21,70,46,35,32.2,24.5,2,3,3
86,2,0.74016,2,3,1,19,65,44,30,37.4,25.5,2,3,2
87,2,1.0023,1,3,2,18,70,44,30,15.3,59.5,4,3,2
88,3,1.0177,2,1,3,20,70,45,35,58.5,45.5,1,2,3
89,2,1.0023,1,3,2,20,65,45,30,21,68.25,3,3,1
90,2,1.0011,2,1,3,18,70,46,25,43.7,23.75,2,3,1
91,2,0.96764,1,3,2,20,70,47,25,21,73.5,3,3,1
92,1,0.77668,2,1,3,19,70,44,35,13.3,49,4,3,3
93,2,0.90093,3,2,1,21,70,47,30,24.15,80.5,3,3,2
94,2,0.80107,1,2,3,19,70,45,30,24.7,91,3,3,3
95,2,0.55092,2,3,1,20,75,47,30,26,97.5,3,3,3
96,2,0.56641,3,2,1,21,65,44,35,14.7,45.5,4,3,3
97,2,0.93432,3,1,2,21,75,48,35,55.2,40.25,1,3,2
98,2,0.86757,1,2,3,22,70,48,30,50.4,31.5,1,3,1
99,3,0.88296,3,1,2,19,75,45,35,51.75,40.25,1,1,2
100,2,1.0023,2,3,1,18,65,44,25,23.4,84.5,3,3,3
101,2,0.99975,2,1,3,22,75,48,35,62.4,45.5,1,3,3
102,1,0.95088,1,3,2,22,65,48,25,18.7,55.25,4,2,2
103,2,0.88551,3,1,2,18,75,44,35,18.9,78.75,3,3,1
104,1,0.81755,1,3,2,22,65,47,30,32.9,21,2,2,3
105,2,0.98423,1,2,3,19,75,48,25,40.8,21.25,2,1,2
106,3,0.90218,2,1,3,18,70,45,25,20.7,80.5,3,1,2
107,2,0.83551,1,3,2,19,65,45,25,51.75,28.75,1,3,2
108,2,0.74989,2,1,3,22,70,47,35,25.3,80.5,3,3,2
109,2,0.86768,3,2,1,20,70,46,30,59.8,39,1,3,3
110,2,0.90084,2,3,1,21,75,47,35,27.3,97.5,3,3,3
111,2,0.68475,3,2,1,19,70,46,25,43.7,23.75,2,1,1
112,1,0.86886,1,2,3,20,75,46,35,19,71.25,4,3,1
113,1,0.86634,2,3,1,22,70,46,35,20.9,66.5,4,3,1
114,2,0.73425,2,1,3,21,65,47,25,44.65,23.75,2,3,1
115,2,0.95093,3,1,2,19,65,44,25,16.15,55.25,4,3,2
116,1,0.88422,3,2,1,22,65,45,35,25.3,74.75,3,3,2
117,2,0.83434,2,3,1,21,70,48,25,19.95,66.5,4,3,1
118,1,0.93295,2,1,3,21,65,46,30,14.7,45.5,4,3,3
119,2,0.85202,1,3,2,18,75,45,30,51.75,34.5,1,3,2
120,2,0.93548,3,1,2,21,70,46,35,22.05,73.5,3,3,1
